Time,/fdm/jsbsim/position/h-sl-ft,/fdm/jsbsim/position/h-sl-meters,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/position/lat-geod-rad,/fdm/jsbsim/position/lat-geod-deg,/fdm/jsbsim/position/lat-gc-rad,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-rad,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/geod-alt-ft,/fdm/jsbsim/position/terrain-elevation-asl-ft,/fdm/jsbsim/position/distance-from-start-lon-mt,/fdm/jsbsim/position/distance-from-start-lat-mt,/fdm/jsbsim/position/distance-from-start-mag-mt,/fdm/jsbsim/ap/active-waypoint,/fdm/jsbsim/position/ned-x-relto-field-wp-ft,/fdm/jsbsim/position/ned-y-relto-field-wp-ft,/fdm/jsbsim/position/ned-z-relto-field-wp-ft,/fdm/jsbsim/position/ned-h-relto-field-wp-ft,/fdm/jsbsim/guidance/wp-distance,/fdm/jsbsim/guidance/field-wp-distance,/fdm/jsbsim/position/ned-x-relto-field-wp-m,/fdm/jsbsim/position/ned-y-relto-field-wp-m,/fdm/jsbsim/position/ned-z-relto-field-wp-m,/fdm/jsbsim/position/ned-h-relto-field-wp-m,/fdm/jsbsim/guidance/target-wp-latitude-rad-ONE,/fdm/jsbsim/guidance/target-wp-longitude-rad-ONE,/fdm/jsbsim/guidance/target-field-wp-latitude-rad,/fdm/jsbsim/guidance/target-field-wp-longitude-rad,/fdm/jsbsim/position/h-agl-m
0,452.755905508995056,137.999999999141693,452.755905508995056,0.930605480319256606,53.3197664140381988,0.927391590584610181,53.1356240964225393,0.142502609456978152,8.16479809148590085,45442.5986740974113,0,7.08115455161385367e-10,7.08115455161385367e-10,7.08115455161385367e-10,0,16723355.5944426917,1780940.62603194616,8489341.87829399295,-8489341.87829399295,19564869.2082993686,19564869.2082993686,5097278.78518613242,542830.702814537217,2587551.40450400906,-2587551.40450400906,0,0,0,0,137.999999999141693
0.0499998,452.68226544931531,137.9775545089513,452.68226544931531,0.930605681553886344,53.3197779439331754,0.927391792192427178,53.1356356476995657,0.142502609475743253,8.16479809256106037,45442.5385933601865,0,7.18026014894698999e-05,1.28588227778217301,1.28588227978687142,1,16723358.0636878107,1780940.14115906693,8489345.25944216177,-8489345.25944216177,19564873.3608713783,19564873.3608713783,5097279.53781204484,542830.555025283596,2587552.43507797085,-2587552.43507797085,0,0,0,0,137.977554521441448
0.0999996,452.608627285808325,137.955109596714379,452.608627285808325,0.930605882788469896,53.3197894738255016,0.927391993800198655,53.1356471989739916,0.14250260954478039,8.16479809651659849,45442.4785145187125,0,0.000335965642974336452,2.57176426452889428,2.57176428647352839,1,16723360.5329331588,1780939.65691040386,8489348.64067849331,-8489348.64067849331,19564877.5135538839,19564877.5135538839,5097280.29043802712,542830.407426291145,2587553.46567880502,-2587553.46567880502,0,0,0,0,137.955109610340003
0.1499994,452.5349982380867,137.932667462968823,452.5349982380867,0.930606084022848945,53.3198010037061181,0.927392195407767295,53.135658750236793,0.142502609697125804,8.16479810524534777,45442.418444770301,0,0.000918898678947898469,3.85764495754867864,3.85764506699033261,1,16723363.0021825563,1780939.17369702412,8489352.0220549088,-8489352.0220549088,19564881.6664168388,19564881.6664168388,5097281.0430652434,542830.260142853018,2587554.49632233614,-2587554.49632233614,0,0,0,0,137.93266747545897
0.1999992,452.461388293653727,137.910231151905663,452.461388293653727,0.930606285256922794,53.319812533569241,0.927392397015033398,53.1356703014822571,0.142502609879891495,8.1647981157170495,45442.3583941119796,0,0.00161823157358470526,5.14352372095384869,5.14352397551382357,1,16723365.4714427479,1780938.69086352456,8489355.40346962214,-8489355.40346962214,19564885.819340989,19564885.819340989,5097281.79569575004,542830.112975202268,2587555.52697754093,-2587555.52697754093,0,0,0,0,137.910231165531286
0.249999,452.387788210064173,137.88779784642756,452.387788210064173,0.930606486490801244,53.3198240634211729,0.92739259862210599,53.1356818527166368,0.142502609970038441,8.16479812088208945,45442.2983532906946,0,0.00196316898392109775,6.42940125011377894,6.42940154983276102,1,16723367.9407077003,1780938.20688158926,8489358.78471081518,-8489358.78471081518,19564889.9720559344,19564889.9720559344,5097282.54832770769,542829.965457508457,2587556.55757985637,-2587556.55757985637,0,0,0,0,137.887797858917679
0.2999988,452.314157553017139,137.865355222159621,452.314157553017139,0.930606687724200521,53.3198355932456494,0.927392800228694303,53.1356934039232698,0.142502609848027983,8.16479811389140586,45442.2382818654223,0,0.0014963093365308773,7.71527569047409578,7.71527583557182695,1,16723370.4099414237,1780937.72026464762,8489362.16558478773,-8489362.16558478773,19564894.1242907979,19564894.1242907979,5097283.30095014628,542829.817136664642,2587557.5880702436,-2587557.5880702436,0,0,0,0,137.865355234649769
0.3499986,452.240452773869038,137.842890005475283,452.240452773869038,0.930606888956394318,53.319847123001054,0.927393001834063813,53.1357049550600706,0.142502609453713763,8.16479809129886469,45442.1781362395122,0,1.24908259617726664e-05,9.00114235714294431,9.00114235715161115,1,16723372.8790998645,1780937.23026414774,8489365.54599812254,-8489365.54599812254,19564898.2758971751,19564898.2758971751,5097284.05354963895,542829.667784512276,2587558.6184202279,-2587558.6184202279,0,0,0,0,137.842890017965431
0.3999984,452.166612192988396,137.820383396422869,452.166612192988396,0.930607090186515662,53.3198586526377198,0.927393203437336777,53.1357165060767471,0.142502608729698915,8.16479804981586987,45442.1178546636511,0,0.0027828543191774119,10.2869956517595362,10.2869960281697956,1,16723375.3481226675,1780936.73616446112,8489368.92587070726,-8489368.92587070726,19564902.4267297983,19564902.4267297983,5097284.80610778928,542829.517182927812,2587559.64860539185,-2587559.64860539185,0,0,0,0,137.820383408913017
0.4499982,452.092555090785027,137.797810791671282,452.092555090785027,0.930607291413541482,53.31987018209702,0.92739340503747536,53.1357280569138339,0.142502607615452276,8.16479798597423923,45442.0573563597936,0,0.00704639700820141896,11.5728289548606025,11.5728311000398936,1,16723377.8169322368,1780936.237209816,8489372.30512548238,-8489372.30512548238,19564906.5766331591,19564906.5766331591,5097285.55860094633,542829.365101551986,2587560.67860224703,-2587560.67860224703,0,0,0,0,137.797810804161429
0.499998,452.018187198787928,137.77514345819057,452.018187198787928,0.930607492636292277,53.3198817113113819,0.92739360663328374,53.1357396075028277,0.142502606052056641,8.1647978963982677,45441.9965469748786,0,0.0130285591208789478,12.8586346393345661,12.8586412396796881,1,16723380.2854381595,1780935.73266369267,8489375.68369371258,-8489375.68369371258,19564910.7254520729,19564910.7254520729,5097286.31100155134,542829.211315893568,2587561.70838984381,-2587561.70838984381,0,0,0,0,137.775143471816193
0.5499978,451.943404205143452,137.75234960172773,451.943404205143452,0.930607693853434892,53.3198932402044221,0.927393808223409888,53.1357511577662436,0.142502603982715942,8.16479777783377969,45441.9353221055426,0,0.0209466645882675703,14.1444040817514214,14.1444195918152111,1,16723382.753540026,1780935.22181541775,8489379.06151381508,-8489379.06151381508,19564914.8730328456,19564914.8730328456,5097287.06327900011,542829.055609339382,2587562.73794941092,-2587562.73794941092,0,0,0,0,137.752349615353353
0.5999976,451.86809478700161,137.729395291078106,451.86809478700161,0.930607895063483181,53.3199047686909822,0.927394009806347674,53.1357627076178005,0.142502601352735375,8.1647976271469922,45441.8735703275233,0,0.0310099970864445955,15.4301276758168999,15.4301588361503104,1,16723385.2211298775,1780934.70398017112,8489382.43852954917,-8489382.43852954917,19564919.0192232355,19564919.0192232355,5097287.81540038716,542828.897773156175,2587563.76726380689,-2587563.76726380689,0,0,0,0,137.729395304703701
0.6499974,451.792143382132053,137.706245302873867,451.792143382132053,0.930608096264797902,53.3199162966771496,0.927394211380437428,53.1357742569624065,0.14250259810943583,8.16479744131961738,45441.811175970317,0,0.0434201274624191613,16.7157948359130657,16.7158512286158327,1,16723387.688094452,1780934.17849815637,8489385.81468825601,-8489385.81468825601,19564923.1638723575,19564923.1638723575,5097288.56733118929,542828.737606238108,2587564.79631698038,-2587564.79631698038,0,0,0,0,137.706245316499462
