Time,/fdm/jsbsim/atmosphere/wind-north-kts,/fdm/jsbsim/atmosphere/wind-east-kts,/fdm/jsbsim/atmosphere/wind-down-kts,/fdm/jsbsim/atmosphere/wind-x-kts,/fdm/jsbsim/atmosphere/wind-y-kts,/fdm/jsbsim/atmosphere/wind-z-kts,/fdm/jsbsim/accelerations/Ny,/fdm/jsbsim/accelerations/Nz
0,-1.68394080901634882e-14,0,-1.31557875704402252e-16,-1.68391393682646727e-14,1.0748968756856369e-30,1.62350355350099108e-16,8.01699882452434239e-17,0.260160140296212483
0.0083333,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924525901725221e-13,1.10694008566827494e-16,4.1303132811098319e-15,0.000570544011389646365,0.996971243321572387
0.0166666,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924526040509305e-13,1.10694014156676862e-16,4.13030733605468291e-15,0.00193204575837789701,0.996971698370615389
0.0249999,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924526248599528e-13,1.1056232890044411e-16,4.13030194948729457e-15,0.00330018372241062691,0.996972237027280439
0.0333332,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924526600875299e-13,1.10172570340579126e-16,4.13029727438665491e-15,0.00467575580114001649,0.99697294199864317
0.0416665,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924527175572383e-13,1.09403490207838188e-16,4.1302930998143082e-15,0.00605866837318545706,0.996973918181596974
0.0499998,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924528052236663e-13,1.08138846563196543e-16,4.13028885153076064e-15,0.00744885458186437307,0.996975289228521855
0.0583331,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924529309402863e-13,1.06267277715647771e-16,4.13028357692727858e-15,0.00884627299747139419,0.996977196640500885
0.0666664,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924531021940749e-13,1.0368217790429822e-16,4.13027592131606422e-15,0.0102509069318225728,0.996979798866697409
0.0749997,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924533258164693e-13,1.00281574789974781e-16,4.13026409569926468e-15,0.0116627637640006037,0.996983268716806648
0.083333,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924536076767004e-13,9.59680088036438708e-17,4.13024583722925187e-15,0.0130818742809090862,0.996987789908732713
0.0916663,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924539523635559e-13,9.06484144175527777e-17,4.13021836328033114e-15,0.0145082920318193812,0.996993552583043563
0.0999996,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924543628610882e-13,8.42340034180407949e-17,4.13017831991882375e-15,0.0159420926965376727,0.997000747763696737
0.1083329,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924548402233669e-13,7.6640150278900537e-17,4.13012172543629671e-15,0.0173833734666314146,0.997009560747754375
0.1166662,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924553832529998e-13,6.77862797475403439e-17,4.13004390949687284e-15,0.0188322524391602124,0.997020163425063166
0.1249995,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924559881876553e-13,5.7595756778931978e-17,4.129939448340801e-15,0.0198810528896168869,0.997032700507060388
0.1333328,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924566471049966e-13,4.60352229136553523e-17,4.12980221114324224e-15,0.0199820703843611204,0.997047228954502596
0.1416661,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924573467407478e-13,3.31656952933471875e-17,4.12962588214455226e-15,0.0187227815104410202,0.997063607694932297
0.1499994,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924580691145905e-13,1.91782323693031727e-17,4.12940503844084431e-15,0.0174577232692298932,0.997081421498412168
0.1583327,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924587970416453e-13,4.25699229333169743e-18,4.12913548945597302e-15,0.0161863974932368523,0.997100116145497872
0.166666,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924595149293357e-13,-1.14205746967312093e-17,4.12881427809531127e-15,0.0149091884923160251,0.997119124831399861
0.1749993,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924602092560253e-13,-2.76835820260889666e-17,4.12843972008949128e-15,0.0136264451548874198,0.99713781026437287
0.1833326,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924608689222594e-13,-4.43675656677284733e-17,4.12801140968228503e-15,0.012338482373841924,0.997155500105430415
0.1916659,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924614854753467e-13,-6.13143457600720536e-17,4.12753020122914568e-15,0.0110455818573432785,0.997171507238253874
0.1999992,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924620532205117e-13,-7.8371890595993002e-17,4.1269981700842564e-15,0.00974799293249891188,0.997185149714535313
0.2083325,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924625692313455e-13,-9.53941826312436583e-17,4.12641855591504233e-15,0.00844593334321730449,0.997195769787895592
0.2166658,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924630332709778e-13,-1.12241086174655059e-16,4.12579569131355053e-15,0.00713959004351368606,0.997202751831834266
0.2249991,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924634476351352e-13,-1.28778216455630444e-16,4.12513491831593653e-15,0.00582912002345571494,0.997205611617293042
0.2333324,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924638173993386e-13,-1.44876809240566029e-16,4.12444229267078563e-15,0.00451465599019763505,0.997204498754903801
0.2416657,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924641543420336e-13,-1.60413586456157776e-16,4.12372267828483278e-15,0.00319630245569641185,0.997198245142325801
0.249999,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924644723685509e-13,-1.75270627715368564e-16,4.12298145989219065e-15,0.00187413596639509727,0.997186816415204791
0.2583323,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924647870570684e-13,-1.89335242651486936e-16,4.12222446675914497e-15,0.00109012251379348129,0.997170129831966512
0.2666656,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924651127807123e-13,-2.02552212077433101e-16,4.12145634685138199e-15,0.000942408197266558605,0.997148296331447859
0.2749989,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924654610422891e-13,-2.14930757812119311e-16,4.12067983053908601e-15,0.00198245352174972926,0.997121553088086143
0.2833322,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924658365383028e-13,-2.26594932281793825e-16,4.11989363249175691e-15,0.00304396093679534926,0.997090298977208356
0.2916655,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924662424417061e-13,-2.37665702253772214e-16,4.11909547521297927e-15,0.00389380632360073831,0.997054746382478707
0.2999988,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.769246668210539e-13,-2.48238455304194575e-16,4.11828294830275925e-15,0.00453278565218118937,0.997014995258935333
0.3083321,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924671595434979e-13,-2.58384168464068795e-16,4.11745370136323842e-15,0.00500760487278943678,0.996971133609177218
0.3166654,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924676794777926e-13,-2.68154983227243886e-16,4.11660545622601496e-15,0.00536383255098384169,0.996923244461898617
